Time,Temperature,Wind Speed,Wind Direction,Precipitation,Humidity,Pressure,Date,ALLSKY_SFC_SW_DWN,TS,QV2M,PS,ComfortIndex
2025-03-25 10:00:00+00:00,8.8,3.9,247.8,0.0,90.1,1006.0,2025-03-25,-999.0,-999.0,-999.0,-999.0,9.11
2025-03-25 11:00:00+00:00,10.6,3.3,250.7,0.0,83.4,1005.8,2025-03-25,-999.0,-999.0,-999.0,-999.0,10.96
2025-03-25 12:00:00+00:00,12.2,3.7,250.4,0.0,77.6,1005.7,2025-03-25,-999.0,-999.0,-999.0,-999.0,12.48
2025-03-25 13:00:00+00:00,12.3,3.7,236.8,0.0,78.4,1005.6,2025-03-25,-999.0,-999.0,-999.0,-999.0,12.56
2025-03-25 14:00:00+00:00,12.4,3.6,231.0,0.0,77.9,1005.4,2025-03-25,-999.0,-999.0,-999.0,-999.0,12.66
2025-03-25 15:00:00+00:00,12.3,2.9,242.1,0.0,78.9,1005.2,2025-03-25,-999.0,-999.0,-999.0,-999.0,12.56
2025-03-25 16:00:00+00:00,12.7,2.2,268.8,0.0,77.4,1005.5,2025-03-25,-999.0,-999.0,-999.0,-999.0,12.92
2025-03-25 17:00:00+00:00,12.2,3.2,293.0,0.0,70.5,1006.4,2025-03-25,-999.0,-999.0,-999.0,-999.0,12.57
2025-03-25 18:00:00+00:00,10.2,3.6,293.8,0.0,72.4,1007.5,2025-03-25,-999.0,-999.0,-999.0,-999.0,10.85
2025-03-25 19:00:00+00:00,8.8,3.5,296.7,0.0,76.1,1008.2,2025-03-25,-999.0,-999.0,-999.0,-999.0,9.55
2025-03-25 20:00:00+00:00,7.4,4.6,306.6,0.0,75.2,1009.0,2025-03-25,-999.0,-999.0,-999.0,-999.0,8.37
2025-03-25 21:00:00+00:00,6.7,4.9,317.1,0.0,72.1,1009.7,2025-03-25,-999.0,-999.0,-999.0,-999.0,7.9
2025-03-25 22:00:00+00:00,5.8,4.7,327.6,0.0,72.0,1010.5,2025-03-25,-999.0,-999.0,-999.0,-999.0,7.14
2025-03-25 23:00:00+00:00,5.4,4.2,336.1,0.0,70.8,1011.4,2025-03-25,-999.0,-999.0,-999.0,-999.0,6.86
