Date,Temperature,Wind_Speed,Wind_Direction,Precipitation,Humidity,Pressure,Unnamed:_0,ALLSKY_SFC_SW_DWN,TS,QV2M,PS,ComfortIndex
2020-01-01,7.2,2.2,,0.0,81,1016.3,0,0.15,-1.1,3.53,98.39,7.96
2020-01-02,1.7,3.8,,0.0,85,1005.9,1,0.22,0.78,4.15,97.39,2.76
2020-01-03,5.6,4.7,,0.0,64,995.0,2,0.35,0.34,3.88,96.34,7.36
2020-01-05,-0.4,1.7,,0.0,85,1018.7,4,0.12,-3.02,3.03,98.55,0.83
2020-01-08,5.6,4.0,,0.4,74,998.7,7,0.44,1.26,4.24,96.72,6.87
2020-01-10,1.3,1.4,,0.0,84,1015.2,9,0.44,-6.88,2.31,98.22,2.46
2020-01-11,7.2,4.3,,0.0,94,1006.4,10,0.1,-1.36,3.72,97.41,7.44
2020-01-12,5.0,1.3,,1.1,86,1001.3,11,0.49,-0.46,3.8,96.92,5.73
2020-01-13,0.3,1.1,,0.0,93,1005.7,12,0.45,-3.11,3.08,97.33,0.85
2020-01-14,1.1,4.6,,8.2,89,990.8,13,0.23,1.18,4.32,95.94,1.91
2020-01-15,4.4,3.1,,7.4,88,990.9,14,0.42,1.26,4.31,95.92,5.07
2020-01-16,4.7,3.2,,0.0,80,1008.6,15,0.5,1.31,4.21,97.64,5.78
2020-01-17,5.1,3.2,,1.8,98,1009.1,16,0.1,1.66,4.44,97.68,5.2
2020-01-18,5.4,1.4,,27.5,100,1005.0,17,0.23,0.62,4.18,97.27,5.4
2020-01-19,2.5,1.7,,0.8,72,1027.0,18,0.55,-3.47,2.9,99.41,4.35
2020-01-20,1.8,1.3,,0.0,79,1027.9,19,0.45,0.41,3.92,99.54,3.27
2020-01-21,7.2,2.2,,0.0,68,1020.4,20,0.5,0.35,3.9,98.87,8.48
2020-01-22,5.3,2.3,,0.0,52,1025.5,21,0.73,-3.76,2.91,99.31,7.73
2020-01-23,1.6,1.0,,0.0,81,1016.9,22,0.3,-1.65,3.46,98.44,2.95
2020-01-24,1.5,2.4,,0.0,73,1006.2,23,0.68,-1.0,3.64,97.48,3.43
2020-01-25,2.5,1.3,,0.0,78,1008.0,24,0.24,-0.76,3.67,97.55,3.95
2020-01-26,2.3,1.7,,0.0,95,1005.2,25,0.41,1.67,4.44,97.31,2.64
2020-01-27,4.0,3.1,,1.5,98,998.1,26,0.13,1.93,4.54,96.64,4.12
2020-01-28,3.7,4.0,,10.1,96,989.8,27,0.16,0.76,4.22,95.82,3.94
2020-01-29,2.1,2.6,,8.4,96,988.3,28,0.39,-1.42,3.67,95.59,2.37
2020-01-30,1.2,2.0,,2.9,90,993.6,29,0.37,-4.24,2.9,96.17,1.93
2020-01-31,7.2,2.3,,4.0,96,990.4,30,0.24,-1.54,3.51,95.81,7.36
2020-02-01,1.5,1.9,,1.8,95,980.5,31,0.45,0.97,4.34,94.94,1.86
2020-02-02,4.5,2.5,,0.0,58,991.8,32,0.92,-3.07,3.12,95.99,6.81
2020-02-03,1.2,1.9,,0.0,70,999.9,33,0.79,-5.29,2.55,96.75,3.39
2020-02-04,-0.5,2.8,,2.4,81,1007.5,34,0.64,-4.92,2.52,97.41,1.07
2020-02-05,-3.4,1.6,,0.3,83,1017.6,35,0.37,-3.23,3.03,98.47,-1.73
2020-02-06,0.3,1.4,,0.0,80,1018.9,36,0.87,-0.53,3.78,98.66,1.86
2020-02-07,2.2,1.5,,0.0,97,1024.2,37,0.59,-2.28,3.43,99.1,2.4
2020-02-08,1.7,3.2,,0.3,96,1013.1,38,0.22,0.62,4.06,98.04,1.98
2020-02-09,3.6,6.1,,1.7,94,980.6,39,0.23,2.01,4.64,94.97,3.96
2020-02-10,7.2,4.1,,7.9,65,960.7,40,0.41,1.55,4.36,92.95,8.61
2020-02-11,3.8,2.9,,0.0,73,971.7,41,1.17,-0.28,3.82,93.97,5.39
2020-02-12,2.7,2.9,,0.0,64,981.7,42,1.23,-0.42,3.49,95.0,5.04
2020-02-13,2.0,2.0,,0.0,57,1000.1,43,1.57,-3.64,2.73,96.78,4.96
2020-02-14,-0.2,1.5,,0.0,77,1011.9,44,1.21,-3.86,2.71,97.87,1.66
2020-02-15,1.0,3.6,,0.1,93,1002.9,45,0.89,1.31,4.31,97.12,1.52
2020-02-16,6.0,5.6,,7.0,87,977.7,46,0.44,3.23,5.1,94.7,6.61
2020-02-17,5.1,6.0,,3.2,69,979.9,47,0.92,3.12,4.52,94.81,6.7
2020-02-18,6.2,3.9,,0.0,69,992.1,48,0.93,2.0,4.17,96.03,7.62
2020-02-19,3.2,1.5,,0.0,76,1001.0,49,1.84,-1.23,3.44,96.87,4.69
2020-02-20,7.2,3.4,,0.0,94,997.8,50,0.26,0.43,4.11,96.56,7.44
2020-02-21,3.3,4.3,,9.0,81,994.1,51,1.13,1.02,4.14,96.21,4.47
2020-02-22,5.0,5.3,,0.1,70,981.5,52,1.51,2.8,4.44,95.03,6.57
2020-02-23,4.9,2.8,,0.5,53,990.0,53,1.57,0.54,3.43,95.8,7.38
2020-02-24,2.7,2.4,,0.0,58,1003.5,54,1.9,-2.21,2.87,97.15,5.43
2020-02-25,1.5,6.9,,0.0,55,992.9,55,1.1,-2.65,2.66,96.12,4.72
2020-02-26,-0.2,4.8,,0.0,55,997.1,56,2.26,-6.31,1.95,96.42,3.44
2020-02-27,-3.4,2.1,,0.0,68,999.4,57,1.7,-7.82,1.76,96.65,-0.25
2020-02-28,-4.2,1.6,,0.0,79,1000.8,58,1.42,-5.56,2.56,96.82,-2.04
2020-02-29,-1.5,4.8,,0.0,82,993.5,59,0.49,-3.49,2.9,96.16,0.08
2020-03-01,7.2,3.1,,12.3,95,978.5,60,0.63,-0.81,3.76,94.7,7.4
2020-03-02,2.4,3.6,,4.7,89,988.5,61,1.26,0.57,4.15,95.65,3.13
2020-03-03,3.0,4.1,,5.0,93,1003.0,62,0.8,0.02,3.89,97.03,3.44
2020-03-04,1.4,3.0,,3.3,94,1003.6,63,0.92,-1.84,3.37,97.13,1.83
2020-03-05,0.1,1.3,,4.0,91,1001.0,64,2.4,-5.57,2.83,96.87,0.81
2020-03-06,0.4,1.8,,0.0,92,1005.9,65,1.63,-4.91,2.86,97.33,1.02
2020-03-07,-2.4,2.2,,0.0,91,1010.5,66,1.25,-4.06,2.79,97.72,-1.56
2020-03-08,-0.2,5.2,,2.2,98,997.3,67,0.44,1.1,4.3,96.52,-0.04
2020-03-09,5.0,3.1,,1.8,90,1002.1,68,1.69,1.21,4.33,97.02,5.52
2020-03-10,4.7,2.2,,0.0,94,992.7,69,0.82,1.2,4.31,96.1,5.02
2020-03-11,7.2,3.4,,7.9,75,987.4,70,2.91,1.25,4.15,95.58,8.2
2020-03-12,4.8,3.0,,0.0,65,983.7,71,1.82,0.36,3.84,95.23,6.67
2020-03-13,3.7,4.4,,0.1,44,1004.2,72,2.66,-1.71,2.53,97.17,7.03
2020-03-14,-0.7,3.4,,0.1,56,1018.4,73,3.29,-2.77,2.31,98.51,2.98
2020-03-15,1.9,4.8,,0.8,93,1001.4,74,0.45,1.38,4.29,96.9,2.39
2020-03-16,4.5,4.1,,2.2,66,1011.3,75,2.98,1.12,3.8,97.89,6.37
2020-03-17,4.7,5.0,,0.0,67,1010.2,76,2.71,2.83,4.5,97.84,6.48
2020-03-18,7.3,4.1,,0.0,58,1008.1,77,3.29,2.79,4.07,97.62,8.96
2020-03-19,4.7,2.8,,0.0,60,1017.1,78,3.72,1.08,3.73,98.47,6.86
2020-03-20,4.8,3.2,,0.0,44,1030.6,79,3.87,-0.56,2.86,99.78,7.79
2020-03-21,7.2,2.1,,0.0,48,1037.9,80,3.99,-1.26,2.49,100.47,9.29
2020-03-22,0.9,2.8,,0.0,67,1037.9,81,2.82,-0.65,2.93,100.42,3.37
2020-03-23,2.6,5.4,,0.0,68,1032.7,82,2.17,1.21,3.48,99.95,4.69
2020-03-24,3.6,5.8,,0.0,73,1026.3,83,1.46,2.11,3.78,99.31,5.22
2020-03-25,4.6,4.4,,0.0,77,1023.3,84,2.69,3.62,4.42,99.06,5.85
2020-03-26,5.9,2.5,,0.0,81,1027.6,85,3.18,3.91,4.6,99.46,6.8
2020-03-27,5.4,1.6,,0.0,82,1026.8,86,2.8,2.29,3.94,99.44,6.3
2020-03-28,3.1,5.0,,0.0,49,1027.0,87,3.91,0.27,2.8,99.47,6.3
2020-03-29,2.1,3.8,,0.0,41,1030.6,88,3.93,-0.61,2.47,99.77,6.12
2020-03-30,3.0,3.5,,0.0,44,1028.9,89,3.72,-0.96,2.56,99.58,6.54
2020-03-31,7.2,2.4,,0.0,53,1019.5,90,4.22,1.62,3.47,98.77,9.09
2020-04-01,5.9,2.6,,0.0,56,1002.5,91,2.19,2.04,4.12,97.18,7.98
2020-04-02,6.1,4.7,,0.0,63,984.2,92,3.48,0.99,3.39,95.32,7.81
2020-04-03,3.5,4.3,,0.7,36,998.0,93,4.41,0.39,2.72,96.59,7.37
2020-04-04,2.7,3.4,,0.0,49,1017.0,94,3.53,0.17,2.84,98.45,6.01
2020-04-05,4.4,1.9,,0.3,90,1025.7,95,1.96,3.0,4.49,99.28,4.96
2020-04-06,5.0,2.5,,1.6,68,1020.8,96,4.7,4.72,4.6,98.83,6.67
2020-04-07,8.3,3.7,,0.3,56,1022.5,97,5.13,4.93,4.38,99.09,9.8
2020-04-08,8.0,3.3,,0.0,65,1019.2,98,2.59,4.28,4.54,98.76,9.25
2020-04-09,7.2,3.8,,0.0,39,1020.0,99,5.18,2.5,3.13,98.83,9.65
2020-04-10,7.2,1.8,,0.0,43,1024.8,100,5.45,2.54,3.03,99.28,9.49
2020-04-11,5.4,2.5,,0.0,84,1020.0,101,1.68,1.15,3.81,98.77,6.2
2020-04-12,4.8,4.9,,11.3,64,1002.3,102,3.23,4.23,4.2,97.12,6.72
2020-04-13,6.5,6.6,,0.0,33,1012.1,103,4.44,0.99,2.37,98.03,9.45
2020-04-14,3.1,2.4,,0.0,59,1013.5,104,2.85,1.84,3.6,98.16,5.67
2020-04-15,5.7,4.1,,0.0,48,1003.2,105,5.12,6.92,4.86,97.26,8.22
2020-04-16,11.5,4.3,,0.3,34,1011.0,106,4.9,4.5,3.44,97.96,12.59
2020-04-17,6.7,3.5,,0.7,38,1021.2,107,5.97,2.94,3.12,98.93,9.36
2020-04-18,6.2,2.5,,0.0,46,1024.4,108,5.67,3.63,3.47,99.24,8.67
2020-04-19,7.5,2.6,,0.3,48,1027.3,109,5.93,6.44,4.56,99.54,9.5
2020-04-20,7.2,2.3,,0.0,42,1030.8,110,5.86,8.3,5.08,99.94,9.53
2020-04-21,13.4,2.1,,0.0,38,1032.8,111,6.02,9.53,4.98,100.17,13.78
2020-04-22,13.3,1.8,,0.0,42,1029.7,112,6.02,10.33,5.16,99.85,13.68
2020-04-23,13.8,2.1,,0.0,40,1019.5,113,5.8,10.07,5.03,98.88,14.03
2020-04-24,13.2,4.8,,0.0,46,1011.3,114,4.29,6.8,4.47,98.01,13.59
2020-04-25,8.2,2.3,,0.0,48,1010.0,115,5.08,6.78,4.27,97.86,10.0
2020-04-26,9.5,2.9,,0.0,52,1007.2,116,4.97,6.45,5.14,97.56,10.82
2020-04-27,9.5,3.9,,0.3,88,1004.8,117,1.61,4.78,5.05,97.29,9.83
2020-04-28,4.0,3.6,,16.4,73,1008.0,118,3.08,2.91,3.84,97.58,5.56
2020-04-29,4.0,1.8,,0.1,58,1010.1,119,4.44,2.96,3.57,97.81,6.43
2020-04-30,7.2,3.6,,0.0,60,1007.5,120,3.41,3.59,3.9,97.54,8.81
