,ALLSKY_SFC_SW_DWN,TS,QV2M,PS
2024-01-01,0.16,0.35,3.08,99.96
2024-01-02,0.2,-1.05,2.5,100.15
2024-01-03,0.21,-1.83,2.21,99.63
2024-01-04,0.3,-2.87,1.97,100.24
2024-01-05,0.38,-6.37,1.49,100.76
2024-01-06,0.31,-9.1,1.35,101.52
2024-01-07,0.31,-3.8,1.9,102.59
2024-01-08,0.31,-7.92,1.54,103.12
2024-01-09,0.27,-2.52,2.38,102.86
2024-01-10,0.34,-2.17,2.68,102.51
2024-01-11,0.24,0.38,3.37,102.28
2024-01-12,0.13,-1.52,2.9,101.5
2024-01-13,0.32,0.2,3.57,99.31
2024-01-14,0.21,-0.06,3.36,98.22
2024-01-15,0.51,-3.87,2.02,98.56
2024-01-16,0.31,-3.93,2.29,98.9
2024-01-17,0.16,-1.24,2.84,97.13
2024-01-18,0.57,-3.52,2.25,98.07
2024-01-19,0.41,-2.43,2.66,98.97
2024-01-20,0.48,-3.12,2.33,100.48
2024-01-21,0.14,1.54,4.25,99.65
2024-01-22,0.38,2.53,4.58,97.23
2024-01-23,0.67,2.58,4.36,98.9
2024-01-24,0.35,2.48,4.48,97.97
2024-01-25,0.78,1.14,3.81,100.69
2024-01-26,0.15,2.25,4.23,99.89
2024-01-27,0.54,2.0,4.29,101.16
2024-01-28,0.27,3.12,4.59,101.32
2024-01-29,0.42,2.55,4.44,101.2
2024-01-30,0.16,1.32,3.62,101.3
2024-01-31,0.41,0.75,3.68,100.22
2024-02-01,0.94,2.76,3.99,99.73
2024-02-02,0.46,3.51,4.82,99.51
2024-02-03,1.06,4.2,4.28,99.07
2024-02-04,0.77,3.31,4.07,98.66
2024-02-05,1.06,1.55,3.16,99.08
2024-02-06,0.6,-0.64,2.68,98.55
2024-02-07,0.9,-1.62,2.22,98.83
2024-02-08,0.94,-2.72,2.23,99.21
2024-02-09,0.88,-2.78,2.1,99.7
2024-02-10,0.81,-2.1,2.3,99.72
2024-02-11,0.4,-1.29,2.59,99.72
2024-02-12,0.31,-0.93,2.76,99.61
2024-02-13,0.81,-1.67,2.8,100.01
2024-02-14,0.78,0.09,3.64,100.5
2024-02-15,0.7,1.32,3.91,100.66
2024-02-16,0.29,1.66,4.37,99.6
2024-02-17,1.68,0.37,3.53,101.49
2024-02-18,0.37,1.05,3.86,101.46
2024-02-19,0.86,-0.74,3.24,100.7
2024-02-20,0.6,0.21,3.74,100.44
2024-02-21,1.08,1.59,4.24,99.43
2024-02-22,0.75,2.16,4.72,97.85
2024-02-23,0.63,2.64,4.67,96.78
2024-02-24,0.96,2.92,4.72,98.87
2024-02-25,0.87,2.53,4.51,99.43
2024-02-26,1.51,1.63,3.97,100.42
2024-02-27,1.0,2.05,3.88,100.8
2024-02-28,1.53,3.36,4.68,100.36
2024-02-29,0.45,3.72,4.95,99.72
2024-03-01,0.57,3.8,5.02,99.74
2024-03-02,0.49,3.57,4.96,100.21
2024-03-03,0.54,3.33,4.75,100.64
2024-03-04,1.07,3.41,4.32,101.35
2024-03-05,2.05,2.77,3.66,102.08
2024-03-06,2.25,1.96,3.4,102.45
2024-03-07,2.83,1.79,3.53,102.4
2024-03-08,2.86,2.02,3.7,101.76
