Time,Temperature,Wind Speed,Wind Direction,Precipitation,Humidity,Pressure
2025-03-25 10:00:00+00:00,8.8,3.9,247.8,0.0,90.1,1006.0
2025-03-25 11:00:00+00:00,10.6,3.3,250.7,0.0,83.4,1005.8
2025-03-25 12:00:00+00:00,12.2,3.7,250.4,0.0,77.6,1005.7
2025-03-25 13:00:00+00:00,12.3,3.7,236.8,0.0,78.4,1005.6
2025-03-25 14:00:00+00:00,12.4,3.6,231.0,0.0,77.9,1005.4
2025-03-25 15:00:00+00:00,12.3,2.9,242.1,0.0,78.9,1005.2
2025-03-25 16:00:00+00:00,12.7,2.2,268.8,0.0,77.4,1005.5
2025-03-25 17:00:00+00:00,12.2,3.2,293.0,0.0,70.5,1006.4
2025-03-25 18:00:00+00:00,10.2,3.6,293.8,0.0,72.4,1007.5
2025-03-25 19:00:00+00:00,8.8,3.5,296.7,0.0,76.1,1008.2
2025-03-25 20:00:00+00:00,7.4,4.6,306.6,0.0,75.2,1009.0
2025-03-25 21:00:00+00:00,6.7,4.9,317.1,0.0,72.1,1009.7
2025-03-25 22:00:00+00:00,5.8,4.7,327.6,0.0,72.0,1010.5
2025-03-25 23:00:00+00:00,5.4,4.2,336.1,0.0,70.8,1011.4
2025-03-26 00:00:00+00:00,4.9,3.1,328.3,0.0,74.0,1012.3
2025-03-26 01:00:00+00:00,4.4,2.5,337.5,0.0,76.3,1012.8
2025-03-26 02:00:00+00:00,3.4,1.4,339.5,0.0,81.4,1013.3
2025-03-26 03:00:00+00:00,2.5,0.7,336.4,0.0,87.0,1014.0
2025-03-26 04:00:00+00:00,1.8,1.3,324.0,0.0,88.8,1014.6
2025-03-26 05:00:00+00:00,1.4,1.6,314.2,0.0,88.3,1015.1
2025-03-26 06:00:00+00:00,1.7,1.6,305.9,0.0,87.8,1015.7
2025-03-26 07:00:00+00:00,3.3,0.7,299.4,0.0,81.2,1016.2
2025-03-26 08:00:00+00:00,5.7,0.9,302.5,0.0,71.7,1016.4
2025-03-26 09:00:00+00:00,7.9,1.2,306.3,0.0,61.3,1016.8
2025-03-26 10:00:00+00:00,9.6,1.7,273.4,0.0,58.9,1017.0
2025-03-26 11:00:00+00:00,10.7,2.4,257.8,0.0,59.4,1017.2
2025-03-26 12:00:00+00:00,10.8,3.0,230.0,0.0,63.5,1016.9
2025-03-26 13:00:00+00:00,10.3,3.5,214.3,0.0,65.5,1016.7
2025-03-26 14:00:00+00:00,9.8,3.7,216.3,0.0,67.2,1016.5
2025-03-26 15:00:00+00:00,9.4,4.1,222.4,0.0,68.0,1016.3
2025-03-26 16:00:00+00:00,8.7,4.2,230.4,0.0,72.9,1016.1
2025-03-26 17:00:00+00:00,7.9,3.8,233.0,0.0,76.7,1015.8
2025-03-26 18:00:00+00:00,6.6,3.4,227.3,0.0,78.6,1015.4
2025-03-26 19:00:00+00:00,5.4,2.1,256.4,0.0,91.4,1015.1
2025-03-26 20:00:00+00:00,5.2,1.7,275.3,0.0,92.9,1014.8
