Time,Temperature,Wind Speed,Wind Direction,Precipitation,Humidity,Pressure
2025-03-19 12:00:00+00:00,10.5,3.0,222.9,0.0,58.2,1022.2
2025-03-19 13:00:00+00:00,9.8,3.5,218.6,0.0,57.6,1021.6
2025-03-19 14:00:00+00:00,9.4,3.9,217.8,0.0,51.7,1021.2
2025-03-19 15:00:00+00:00,8.7,3.9,226.9,0.0,55.0,1021.3
2025-03-19 16:00:00+00:00,7.9,2.9,224.5,0.0,60.6,1021.0
2025-03-19 17:00:00+00:00,6.5,1.7,208.9,0.0,76.7,1020.7
2025-03-19 18:00:00+00:00,4.4,0.7,160.6,0.0,94.8,1020.5
2025-03-19 19:00:00+00:00,2.9,0.7,40.6,0.0,97.5,1020.4
2025-03-19 20:00:00+00:00,2.0,1.7,8.8,0.0,97.0,1020.2
2025-03-19 21:00:00+00:00,1.4,1.5,323.9,0.0,95.1,1020.4
2025-03-19 22:00:00+00:00,1.4,1.3,293.9,0.0,94.7,1020.2
2025-03-19 23:00:00+00:00,1.1,2.2,244.6,0.0,96.9,1020.1
2025-03-20 00:00:00+00:00,1.1,1.9,260.0,0.0,92.8,1019.8
2025-03-20 01:00:00+00:00,0.9,2.0,258.5,0.0,89.3,1019.5
2025-03-20 02:00:00+00:00,1.0,2.5,255.0,0.0,85.7,1019.3
2025-03-20 03:00:00+00:00,1.5,2.7,250.5,0.0,80.2,1019.0
2025-03-20 04:00:00+00:00,1.1,2.2,258.1,0.0,82.9,1018.7
2025-03-20 05:00:00+00:00,0.4,1.7,281.2,0.0,87.4,1018.6
2025-03-20 06:00:00+00:00,-0.1,1.9,270.6,0.0,88.5,1018.6
2025-03-20 07:00:00+00:00,1.2,1.7,269.3,0.0,79.6,1018.7
2025-03-20 08:00:00+00:00,3.3,2.7,265.4,0.0,56.6,1018.9
2025-03-20 09:00:00+00:00,5.5,2.4,281.5,0.0,47.8,1019.2
2025-03-20 10:00:00+00:00,7.4,1.8,285.6,0.0,45.7,1019.3
2025-03-20 11:00:00+00:00,8.7,1.4,265.0,0.0,44.8,1019.3
2025-03-20 12:00:00+00:00,9.0,2.4,196.3,0.0,52.5,1019.3
2025-03-20 13:00:00+00:00,9.3,2.3,188.1,0.0,52.7,1019.2
2025-03-20 14:00:00+00:00,9.4,2.0,179.2,0.0,49.1,1019.4
2025-03-20 15:00:00+00:00,9.1,2.2,193.1,0.0,46.5,1019.4
2025-03-20 16:00:00+00:00,8.4,1.9,223.7,0.0,47.4,1019.8
2025-03-20 17:00:00+00:00,7.0,1.3,267.6,0.0,60.7,1020.2
2025-03-20 18:00:00+00:00,4.6,2.0,295.1,0.0,72.3,1020.8
2025-03-20 19:00:00+00:00,3.4,2.1,304.7,0.0,61.9,1021.3
2025-03-20 20:00:00+00:00,2.7,1.8,311.6,0.0,57.7,1021.7
2025-03-20 21:00:00+00:00,2.3,2.2,322.8,0.0,57.1,1022.2
2025-03-20 22:00:00+00:00,2.1,2.3,328.9,0.0,58.8,1022.8
2025-03-20 23:00:00+00:00,2.0,2.4,333.8,0.0,63.0,1023.3
2025-03-21 00:00:00+00:00,1.8,2.4,351.0,0.0,68.5,1023.8
2025-03-21 01:00:00+00:00,1.2,2.2,21.3,0.0,77.7,1024.4
2025-03-21 02:00:00+00:00,1.4,2.7,23.8,0.0,74.1,1024.8
2025-03-21 03:00:00+00:00,1.5,3.3,19.8,0.0,73.1,1025.2
2025-03-21 04:00:00+00:00,1.6,3.4,18.8,0.0,73.5,1025.5
2025-03-21 05:00:00+00:00,1.4,3.3,19.2,0.0,75.7,1026.0
2025-03-21 06:00:00+00:00,1.4,3.4,19.8,0.0,76.1,1026.7
2025-03-21 07:00:00+00:00,2.4,3.6,25.8,0.0,71.9,1027.3
2025-03-21 08:00:00+00:00,3.9,3.8,29.6,0.0,66.3,1027.9
2025-03-21 09:00:00+00:00,5.5,3.4,45.0,0.0,64.4,1028.5
2025-03-21 10:00:00+00:00,7.1,2.9,63.2,0.0,62.7,1028.8
2025-03-21 11:00:00+00:00,8.3,3.0,86.1,0.0,60.0,1029.1
2025-03-21 12:00:00+00:00,8.8,2.6,96.7,0.0,59.2,1029.3
2025-03-21 13:00:00+00:00,9.3,2.2,102.8,0.0,56.6,1029.2
2025-03-21 14:00:00+00:00,9.6,1.8,95.6,0.0,54.0,1029.0
2025-03-21 15:00:00+00:00,9.7,1.6,95.6,0.0,53.1,1028.8
2025-03-21 16:00:00+00:00,9.5,0.6,75.5,0.0,54.5,1028.6
2025-03-21 17:00:00+00:00,8.0,0.8,34.8,0.0,69.0,1028.6
2025-03-21 18:00:00+00:00,5.6,1.3,24.4,0.0,78.2,1028.8
2025-03-22 00:00:00+00:00,4.0,3.7,117.9,0.0,83.3,1029.2
2025-03-22 06:00:00+00:00,2.3,3.4,59.9,0.0,87.9,1029.0
2025-03-22 12:00:00+00:00,8.1,2.8,67.8,0.0,62.7,1027.6
2025-03-22 18:00:00+00:00,7.3,4.7,61.9,0.0,66.7,1023.1
2025-03-23 00:00:00+00:00,4.3,4.4,67.1,0.0,78.5,1021.4
2025-03-23 06:00:00+00:00,2.5,4.6,33.8,0.0,84.0,1017.5
2025-03-23 12:00:00+00:00,9.4,4.0,53.9,0.0,63.5,1013.3
2025-03-23 18:00:00+00:00,6.8,3.6,30.1,0.0,72.4,1011.1
2025-03-24 00:00:00+00:00,4.2,3.3,18.4,0.0,87.1,1010.0
2025-03-24 06:00:00+00:00,3.8,2.8,20.1,0.0,91.2,1005.9
2025-03-24 12:00:00+00:00,8.1,3.8,208.3,0.0,72.1,1002.9
2025-03-24 18:00:00+00:00,6.6,4.6,215.4,0.0,82.8,1002.5
2025-03-25 00:00:00+00:00,4.9,4.7,243.5,0.0,81.2,1002.6
2025-03-25 06:00:00+00:00,4.3,4.1,287.8,0.0,77.5,1004.4
2025-03-25 12:00:00+00:00,10.0,3.4,212.2,0.0,48.5,1006.4
2025-03-25 18:00:00+00:00,6.0,3.5,243.9,0.0,73.1,1005.2
2025-03-26 00:00:00+00:00,2.7,3.3,23.9,0.0,81.1,1008.5
2025-03-26 06:00:00+00:00,2.5,3.4,19.9,0.0,74.1,1009.2
2025-03-26 12:00:00+00:00,8.5,2.9,196.7,0.0,57.7,1009.0
2025-03-26 18:00:00+00:00,4.9,2.9,238.6,0.0,74.0,1008.7
2025-03-27 00:00:00+00:00,2.7,3.4,21.9,0.0,75.8,1008.8
2025-03-27 06:00:00+00:00,1.7,3.2,21.4,0.0,74.9,1011.2
2025-03-27 12:00:00+00:00,8.2,2.9,190.6,0.0,57.8,1012.1
2025-03-27 18:00:00+00:00,4.9,2.9,206.8,0.0,72.4,1011.8
2025-03-28 00:00:00+00:00,3.3,2.9,205.9,0.0,84.6,1011.7
2025-03-28 06:00:00+00:00,4.0,3.6,22.5,0.0,85.7,1008.8
2025-03-28 12:00:00+00:00,7.4,3.8,202.4,0.0,77.7,1011.1
2025-03-28 18:00:00+00:00,5.5,3.1,202.0,0.0,73.5,1010.0
2025-03-29 00:00:00+00:00,2.6,2.8,30.0,0.0,89.3,1016.3
2025-03-29 06:00:00+00:00,3.9,3.2,26.4,0.0,88.0,1009.8
2025-03-29 12:00:00+00:00,7.9,3.5,55.1,0.0,76.9,1011.1
